id,type,gender,skin_tone,count,accessories
0000,human,female,medium,3,green eye shadow/earring/blonde bob
0001,human,male,dark,2,smile/mohawk
0002,human,female,light,1,wild hair
0003,human,male,dark,3,wild hair/nerd glasses/pipe
0004,human,male,medium,4,big shades/wild hair/earring/goat
0005,human,female,medium,3,purple eye shadow/half shaved/earring
0006,human,male,medium,1,do-rag
0007,human,female,medium,3,wild white hair/spots/clown eyes blue
0008,human,male,dark,2,messy hair/luxurious beard
0009,human,male,medium,3,clown nose/police cap/big beard
0010,human,female,dark,2,blue eye shadow/mohawk
0011,human,female,medium,3,black lipstick/clown eyes green/straight hair dark
0012,human,female,dark,2,blonde short/purple lipstick
0013,human,female,light,3,big shades/black lipstick/straight hair blonde
0014,human,female,dark,3,pipe/pilot helmet/hot lipstick
0015,human,male,albino,3,luxurious beard/wild hair/regular shades
0016,human,male,medium,3,stringy hair/earring/small shades
0017,human,male,light,2,frown/mohawk
0018,human,male,medium,2,eye mask/muttonchops
0019,human,female,dark,3,bandana/horned rim glasses/hot lipstick
0020,human,male,light,1,crazy hair
0021,human,male,light,3,messy hair/classic shades/earring
0022,human,female,dark,2,pilot helmet/purple lipstick
0023,human,male,light,3,handlebars/earring/do-rag
0024,human,male,light,2,smile/mohawk dark
0025,human,female,dark,1,wild white hair
0026,human,female,medium,1,dark hair
0027,human,male,light,2,peak spike/earring
0028,human,male,dark,2,big shades/crazy hair
0029,human,female,medium,3,horned rim glasses/half shaved/earring
0030,human,male,dark,2,normal beard black/cap
0031,human,female,dark,1,stringy hair
0032,human,male,light,2,frown/vr
0033,human,male,light,1,peak spike
0034,human,female,light,2,frumpy hair/purple lipstick
0035,human,male,dark,5,cigarette/peak spike/earring/horned rim glasses/normal beard
0036,human,female,medium,1,red mohawk
0037,human,female,dark,2,cap/clown eyes blue
0038,human,female,light,3,frumpy hair/classic shades/purple lipstick
0039,human,male,light,3,frown/shaved head/regular shades
0040,human,male,light,3,bandana/chinstrap/smile
0041,human,male,dark,3,muttonchops/wild hair/clown eyes green
0042,human,female,dark,2,wild hair/cigarette
0043,human,female,medium,1,half shaved
0044,human,male,light,1,messy hair
0045,human,male,medium,2,earring/mole
0046,human,female,medium,2,purple lipstick/straight hair dark
0047,human,male,dark,1,knitted cap
0048,human,male,light,2,big shades/mohawk
0049,human,female,dark,2,bandana/purple eye shadow
0050,human,male,medium,2,spots/fedora
0051,human,male,medium,3,muttonchops/wild hair/earring
0052,human,male,dark,4,shadow beard/earring/nerd glasses/knitted cap
0053,human,female,light,2,big shades/straight hair
0054,human,male,dark,1,hoodie
0055,human,male,light,1,eye patch
0056,human,male,dark,1,shaved head
0057,human,male,light,1,headband
